time,rent_persquare,rent_persuite,price,ratio
2022-05,87.61,7662,65244,1:744
2022-04,79.71,7994,65109,1:816
2022-03,86.26,7915,66830,1:774
2022-02,87.1,7768,67621,1:776
2022-01,83.1,7074,67504,1:812
2021-12,87.88,7634,67657,1:769
2021-11,84.08,7366,67747,1:805
2021-10,84.89,7465,67787,1:798
2021-09,84.21,7566,67864,1:805
2021-08,78.34,7180,68393,1:873
2021-07,74.13,6352,68671,1:926
2021-06,83.48,6801,68335,1:818
2021-05,83.83,7320,67241,1:802
2021-04,77.92,6513,64438,1:826
2021-03,78.22,6615,57034,1:729
2021-02,76.21,6418,55628,1:729
2021-01,74.51,6245,56808,1:762
2020-12,74.84,6295,55981,1:748
2020-11,74.67,6351,57547,1:770
2020-10,72.94,6101,58774,1:805
2020-09,75.06,6455,58139,1:774
2020-08,73.09,6129,57578,1:787
2020-07,73.09,6087,56874,1:778
2020-06,73.02,6084,56737,1:777
2020-05,71.93,6018,56455,1:784
2020-04,73.8,6068,56596,1:766
2020-03,74.69,6127,57081,1:764
2020-02,75.68,6010,57004,1:753
2020-01,72.78,5738,55789,1:766
2019-12,70.5,5946,55123,1:781
2019-11,70.66,6059,55214,1:781
2019-10,70.02,6000,51461,1:734
2019-09,73.36,6478,52501,1:715
2019-08,72.69,6482,52142,1:717
2019-07,73.83,6767,52722,1:714
2019-06,72.01,6723,53950,1:749
2019-05,72.02,6772,53595,1:744
2019-04,71.61,6471,53855,1:752
2019-03,72.9,6429,53938,1:739
2019-02,70.44,6104,54797,1:777
2019-01,70.7,6197,54420,1:769
2018-12,70.2,6125,54259,1:772
2018-11,73.29,6327,54945,1:749
2018-10,73.63,6421,55095,1:748
2018-09,71.76,6078,55440,1:772
2018-08,72.12,6192,55500,1:769
2018-07,67.36,5511,55472,1:823
2018-06,86.35,7952,55313,1:640
2018-05,74.89,5882,55009,1:734
2018-04,96.45,10223,55973,1:580
2018-03,87.8,8277,55818,1:635
2018-02,63.78,4673,55565,1:871
2018-01,66.34,5134,58443,1:880
