ID,Area,Sum_length,Density,Mean_price,Sum_Z,Mean_cy,Count_trans,POINT_X,POINT_Y
3072,2.25,13.135,5.8378,6155.12,78943,4201,1,367888.833,3459075.811
2032,2.25,0,0,0,5642,0,2,319888.833,3438075.811
2469,2.25,9.1874,4.0833,0,25194,0,1,327388.833,3447075.811
2474,2.25,5.4484,2.4215,0,683,0,1,334888.833,3447075.811
1706,2.25,1.5197,0.6754,0,2774,0,7,370888.833,3430575.811
2635,2.25,9.4391,4.1952,10497.5,108369,17708.19,2,360388.833,3450075.811
1604,2.25,8.2385,3.6615,0,1630,0,8,325888.833,3429075.811
1025,2.25,4.5896,2.0398,0,3112,0,1,321388.833,3417075.811
2570,2.25,13.7142,6.0952,0,709,82625.13,1,370888.833,3448575.811
2360,2.25,3.1191,1.3863,0,917,0,5,379888.833,3444075.811
3064,2.25,18.8847,8.3932,9020.19,198145,65438.68,2,355888.833,3459075.811
2435,2.25,0.8221,0.3654,0,36177,0,21,384388.833,3445575.811
1035,2.25,3.1162,1.385,0,3816,0,8,336388.833,3417075.811
467,2.25,0.5199,0.2311,0,2862,0,12,348346.8542,3405126.759
2749,2.25,1.5658,0.6959,0,1769,89759.09,1,315831.4555,3453150.823
1686,2.25,5.4208,2.4092,0,16398,0,5,340888.833,3430575.811
5501,2.25,3.3319,1.4808,0,2481,0,0,339388.833,3510075.811
3561,2.25,8.1644,3.6286,4047.7,24881,0,0,345388.833,3469575.811
1900,2.25,13.8207,6.1425,0,15566,0,0,337888.833,3435075.811
1812,2.25,2.9446,1.3087,0,20042,0,0,313888.833,3433575.811
318,2.25,13.063,5.8058,2233.33,38216,0,0,340888.833,3402075.811
1232,2.25,0.4111,0.1827,0,11893,0,0,308510.7745,3421666.219
4883,2.25,0.0248,0.011,0,1130,0,0,384397.7833,3496528.872
3067,2.25,11.0519,4.912,6973.62,165893,76693.5,0,360388.833,3459075.811
1609,2.25,11.3756,5.0558,0,1620,0,0,333388.833,3429075.811
3714,2.25,5.0739,2.2551,0,631,0,0,358888.833,3472575.811
3938,2.25,2.1687,0.9639,0,1476,0,0,370888.833,3477075.811
1977,2.25,9.1058,4.047,0,2905,0,0,345388.833,3436575.811
2304,2.25,1.2545,0.5576,0,1109,0,0,296080.1162,3443897.516
2503,2.25,0.1247,0.0554,0,6252,0,0,378388.833,3447075.811
3045,2.25,6.0904,2.7068,0,9642,0,0,327388.833,3459075.811
810,2.25,5.7362,2.5494,0,1392,0,0,322888.833,3412575.811
3432,2.25,5.6465,2.5096,0,39410,0,0,367888.833,3466575.811
3500,2.25,1.9454,0.8646,4651.33,85978,0,0,361888.833,3468075.811
5291,2.25,1.3399,0.5955,0,1187,0,0,348388.833,3505575.811
391,2.25,7.3001,3.2445,3150,19603,0,0,342388.833,3403575.811
2415,2.25,6.7204,2.9869,4833.33,1749,0,0,354388.833,3445575.811
2832,2.25,1.5266,0.6785,0,747,80487.37,0,331888.833,3454575.811
1193,2.25,4.4135,1.9616,0,3938,0,0,357388.833,3420075.811
1925,2.25,5.5958,2.487,0,20355,0,0,375388.833,3435075.811
2168,2.25,5.5228,2.4546,0,1068,0,0,307888.833,3441075.811
4670,2.25,3.1793,1.413,0,1716,0,0,388888.833,3492075.811
1974,2.25,2.8153,1.2513,0,4584,0,0,340888.833,3436575.811
1483,2.25,1.5435,0.686,0,4305,0,0,360388.833,3426075.811
2840,2.25,10.3947,4.6199,6136.16,75436,0,0,343888.833,3454575.811
1112,2.25,5.0076,2.2256,0,4806,0,0,343888.833,3418575.811
2111,2.25,5.6908,2.5292,4190.67,2801,0,0,330388.833,3439575.811
664,2.25,0,0,0,692,0,0,320534.2458,3409434.307
2434,2.25,13.7758,6.1226,0,5701,0,0,382888.833,3445575.811
6143,2.25,0,0,0,572,0,0,330903.7917,3522993.798
2997,2.25,18.872,8.3876,7235.78,102262,0,0,363388.833,3457575.811
1769,2.25,4.5108,2.0048,0,1297,0,0,357388.833,3432075.811
2648,2.25,5.8965,2.6207,0,19864,0,0,379888.833,3450075.811
2558,2.25,12.3537,5.4905,6014.55,14668,0,0,352888.833,3448575.811
2284,2.25,1.5476,0.6878,0,837,0,0,373888.833,3442575.811
4172,2.25,0,0,0,0,0,0,397513.5074,3481719.435
5016,2.25,0.9816,0.4363,0,874,0,0,367888.833,3499575.811
1652,2.25,0,0,0,75,0,0,397888.833,3429075.811
4864,2.25,0.3457,0.1536,0,872,0,0,355888.833,3496575.811
5093,2.25,4.9997,2.2221,0,1431,0,0,375388.098,3500748.867
3622,2.25,0,0,0,9542,0,0,328888.833,3471075.811
2352,2.25,3.9461,1.7538,3630.45,1303,0,0,367888.833,3444075.811
1384,2.25,6.4821,2.8809,0,1648,0,0,319888.833,3424575.811
3621,2.25,1.6663,0.7406,0,1516,0,0,327388.833,3471075.811
3661,2.25,1.1217,0.4985,0,2271,0,0,387388.833,3471075.811
1738,2.25,1.6395,0.7287,0,1158,0,0,310888.833,3432075.811
3077,2.25,5.3408,2.3737,0,822,0,0,375388.833,3459075.811
2653,2.25,0,0,0,6321,0,0,386651.4437,3449343.032
5297,2.25,3.3816,1.5029,0,14619,0,0,357388.833,3505575.811
2195,2.25,6.9541,3.0907,4673.01,123749,0,0,348388.833,3441075.811
1069,2.25,6.0003,2.6668,0,6343,0,0,387388.833,3417075.811
3800,2.25,0,0,0,1183,0,0,379781.057,3473950.06
3185,2.25,0.7136,0.3171,0,5737,0,0,321308.6403,3461931.762
812,2.25,6.4794,2.8797,0,2612,0,0,325888.833,3412575.811
2981,2.25,9.614,4.2729,4120,54133,0,0,339388.833,3457575.811
3272,2.25,14.6498,6.511,3983.14,72485,0,0,343888.833,3463575.811
5298,2.25,0.4166,0.1852,0,17513,0,0,358888.833,3505575.811
672,2.25,4.308,1.9147,0,1287,0,0,331888.833,3409575.811
4581,2.25,0,0,0,5065,0,0,363592.0145,3490991.636
2123,2.25,8.1179,3.608,5538.7,78043,0,0,348388.833,3439575.811
2234,2.25,0,0,0,583,0,0,298930.9316,3442618.6
2914,2.25,10.7043,4.7575,10924.35,124120,0,0,346888.833,3456075.811
5937,2.25,0.504,0.224,0,1402,0,0,345388.833,3519075.811
1948,2.25,1.1384,0.5059,0,529,0,0,301888.833,3436575.811
3568,2.25,8.5837,3.815,4137.47,56023,0,0,355888.833,3469575.811
1854,2.25,8.9591,3.9818,3000,12982,0,0,376888.833,3433575.811
4598,2.25,3.646,1.6204,0,1129,0,0,388888.833,3490575.811
2272,2.25,11.0449,4.9088,0,4122,0,0,355888.833,3442575.811
1388,2.25,9.3812,4.1694,0,14521,0,0,325888.833,3424575.811
2616,2.25,8.6503,3.8446,0,1568,96246,0,331888.833,3450075.811
1647,2.25,2.2532,1.0014,0,2076,0,0,390388.833,3429075.811
5444,2.25,0,0,0,880,0,0,361887.3957,3508574.363
1489,2.25,1.304,0.5795,0,3680,0,0,369388.833,3426075.811
3987,2.25,3.1885,1.4171,0,4907,0,0,336388.833,3478575.811
1184,2.25,1.1113,0.4939,0,5292,0,0,343888.833,3420075.811
2167,2.25,3.1142,1.3841,0,1697,0,0,306388.833,3441075.811
3735,2.25,0,0,0,263,0,0,389679.5485,3471846.545
4658,2.25,2.4191,1.0752,0,3128,0,0,370888.833,3492075.811
4382,2.25,0,0,0,1715,0,0,388888.833,3486075.811
2427,2.25,11.3078,5.0257,0,1375,0,0,372388.833,3445575.811
983,2.25,0,0,0,2147,0,0,366388.833,3415575.811
2854,2.25,6.3497,2.8221,21833.33,68997,0,0,364888.833,3454575.811
2828,2.25,11.8248,5.2555,0,1119,2976,0,325888.833,3454575.811
1707,2.25,4.3716,1.943,0,4809,0,0,372388.833,3430575.811
1022,2.25,6.3222,2.8099,0,1152,0,0,316888.833,3417075.811
3418,2.25,7.5717,3.3652,3917.52,42208,0,0,346888.833,3466575.811
4063,2.25,3.5563,1.5806,0,14413,0,0,342388.833,3480075.811
1211,2.25,4.5564,2.0251,0,1976,0,0,384388.833,3420075.811
3701,2.25,5.2746,2.3443,0,958,0,0,339388.833,3472575.811
2319,2.25,2.4601,1.0934,0,2153,0,0,318388.833,3444075.811
