FID,Price,Unit_price,Size,Room_number,Decoration,Rent_type,Income,Region,Resource,Longtitude,Latitude,Distance
1,6000,144.02,41.66,1,Simplified,Wholely,6620,Pudong,third,121.4991799,31.17377727,7.51507
2,4200,111.26,37.75,1,Simplified,Wholely,4700,Yangpu,third,121.548001,31.32210891,12.29101
3,6000,91.39,65.65,2,Simplified,Wholely,5700,Xuhui,third,121.4614928,31.19809641,4.20466
4,4500,72.57,62.01,2,Simplified,Wholely,5450,Baoshan,third,121.4916374,31.34488479,12.32767
5,6000,151.52,39.6,2,Simplified,Wholely,4700,Yangpu,third,121.5286137,31.26832349,6.88269
6,4500,84.91,53,2,Simplified,Wholely,5700,Xuhui,third,121.4418921,31.14841951,9.9725
7,5600,168.42,33.25,1,Classic,Wholely,5490,Hongkou,third,121.5082404,31.29514822,7.66549
8,5600,93.96,59.6,1,Classic,Wholely,4240,Jiading,third,121.3838586,31.25391976,8.18559
9,4800,160,30,1,Classic,Wholely,5700,Xuhui,third,121.466128,31.20076789,3.87516
10,6000,111.98,53.58,2,Simplified,Wholely,5700,Xuhui,third,121.4590935,31.19072467,5.04599
11,4200,280,15,1,Simplified,Wholely,9600,Huangpu,third,121.4930823,31.20581155,4.13537
12,5300,88.33,60,2,Simplified,Wholely,5700,Xuhui,third,121.433632,31.13872183,11.21728
13,6000,70.4,85.23,2,Simplified,Wholely,6620,Pudong,third,121.7624055,31.04891142,34.9541
14,5300,88.33,60,2,Simplified,Wholely,5700,Xuhui,third,121.431191,31.13622585,11.54971
15,4200,127.27,33,1,Classic,Wholely,5700,Putuo,third,121.4471234,31.26854657,4.10957
16,5200,162.04,32.09,1,Classic,Wholely,5700,Xuhui,third,121.4304822,31.18080763,7.01788
17,6000,118.18,50.77,1,Simplified,Wholely,5700,Xuhui,third,121.4517722,31.17672395,6.70162
18,5300,129.27,41,1,Simplified,Wholely,5700,Xuhui,third,121.462678,31.16240586,8.13836
19,5700,110.32,51.67,1,Classic,Wholely,5700,Xuhui,third,121.4330207,31.1942871,5.62647
20,5000,108.96,45.89,2,Simplified,Wholely,5700,Xuhui,third,121.4215772,31.1630601,9.15035
21,4500,84.3,53.38,1,Simplified,Wholely,4700,Yangpu,third,121.5549043,31.29667639,10.75035
22,5800,119.02,48.73,2,Classic,Wholely,6620,Pudong,third,121.4965118,31.15167627,9.72858
23,5200,94.55,55,2,Simplified,Wholely,5170,Minhang,third,121.3968864,31.13833056,12.70425
24,4500,180.72,24.9,1,Simplified,Wholely,9600,Huangpu,third,121.4781952,31.20590467,3.46849
25,5500,110,50,2,Simplified,Wholely,5080,Changning,third,121.3784058,31.22374777,8.55681
26,5000,114.21,43.78,1,Simplified,Wholely,6620,Pudong,third,121.5796411,31.25476198,10.92364
27,6000,152.63,39.31,1,Simplified,Wholely,5700,Xuhui,third,121.4286065,31.17735786,7.4387
28,5200,131.08,39.67,1,Simplified,Wholely,6620,Pudong,third,121.5090282,31.18099856,7.26185
29,4000,123.53,32.38,1,Simplified,Wholely,5490,Hongkou,third,121.4849468,31.29175003,6.44101
30,5000,139.66,35.8,1,Simplified,Wholely,6620,Pudong,third,121.589897,31.11786628,17.5403
31,5000,129.1,38.73,1,Simplified,Wholely,4700,Yangpu,third,121.5247185,31.29656207,8.69489
32,5200,148.87,34.93,1,Simplified,Wholely,6620,Pudong,third,121.7624055,31.04891142,34.9541
33,5600,183.61,30.5,1,Simplified,Wholely,5700,Xuhui,third,121.4590935,31.19072467,5.04599
34,5000,144.93,34.5,1,Simplified,Wholely,6620,Pudong,third,121.5319139,31.22538164,6.27724
35,4700,120.51,39,2,Simplified,Wholely,5700,Putuo,third,121.438835,31.2593509,3.75996
36,5000,99.09,50.46,2,Classic,Wholely,6620,Pudong,third,121.4963184,31.15038415,9.86065
37,5800,161.42,35.93,1,Simplified,Wholely,5700,Xuhui,third,121.4566631,31.19266118,4.87595
38,4900,87.83,55.79,1,Classic,Wholely,4240,Jiading,third,121.3384021,31.83559998,67.62929
39,4800,85.87,55.9,2,Simplified,Wholely,5450,Baoshan,third,121.5007339,31.3555994,13.67238
40,4600,123.72,37.18,1,Simplified,Wholely,4700,Yangpu,third,121.5193148,31.28584939,7.457
41,6000,49.18,122,3,Simplified,Wholely,5170,Minhang,third,121.4269561,31.09252156,16.33104
42,6000,108.6,55.25,2,Classic,Wholely,5700,Xuhui,third,121.4240617,31.14440729,10.92359
43,4100,111.17,36.88,1,Simplified,Wholely,5700,Xuhui,third,121.4805389,31.23592904,1.27741
44,5000,76.92,65,2,Classic,Wholely,6620,Pudong,third,121.5946306,31.35031133,17.57316
45,6000,59.61,100.65,3,Simplified,Wholely,6620,Pudong,third,121.5773826,31.23436861,10.50446
46,6000,124.15,48.33,2,Simplified,Wholely,6620,Pudong,third,121.5899196,31.11937525,17.41743
47,4500,107.19,41.98,1,Simplified,Wholely,6620,Pudong,third,121.6065411,31.27963204,14.14305
48,5500,110.4,49.82,2,Classic,Wholely,4700,Yangpu,third,121.53463,31.33602119,12.84551
49,4900,173.14,28.3,1,Classic,Wholely,6620,Pudong,third,121.5472822,31.25146119,7.8323
50,5400,152.28,35.46,1,Classic,Wholely,5700,Xuhui,third,121.4480469,31.18436215,5.9764
51,4600,124.32,37,1,Simplified,Wholely,6620,Pudong,third,121.7624055,31.04891142,34.9541
52,5300,176.67,30,1,Simplified,Wholely,6620,Pudong,third,121.589897,31.11786628,17.5403
53,4800,87.27,55,1,Classic,Wholely,4700,Yangpu,third,121.539555,31.32187748,11.78296
54,5000,128.47,38.92,1,Classic,Wholely,5490,Hongkou,third,121.4758481,31.27828575,4.79313
55,5800,132.03,43.93,2,Classic,Wholely,5450,Baoshan,third,121.4955616,31.32158627,9.899
56,4500,133.77,33.64,1,Simplified,Wholely,4700,Yangpu,third,121.5444967,31.26415527,8.01582
57,5500,112.34,48.96,2,Simplified,Wholely,6620,Pudong,third,121.4914683,31.09462883,15.81296
58,5000,103.43,48.34,1,Simplified,Wholely,6620,Pudong,third,121.5046423,31.14825919,10.33388
59,5800,68.24,85,2,Simplified,Wholely,5170,Minhang,third,121.4276228,31.08556484,17.06767
60,6000,150.64,39.83,1,Simplified,Wholely,6620,Pudong,third,121.52945,31.22800687,5.9982
61,5700,151.64,37.59,1,Classic,Wholely,5700,Xuhui,third,121.4311022,31.19957081,5.27644
